"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11428-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.113913595115277,-2.19903139255136,0.00191991470859807,0.00992569332040988,0.000540852417367642,-2.19278111318999,0.00172057292591294,0.0102343189440787,0.000581770783965669,-2.20427138949969,0.00578755131462969,0.0112377453138055,0.00157053436644951,-2.1984212619865,0.00255895498989842,0.00953228323318527,0.000769949556575579
"11428-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.113783158800048,-2.19964491426061,0.00202516227941857,0.00994292828984023,0.000561132214975224,-2.19377751672851,0.00183730413917639,0.0103952379582348,0.000602278156348317,-2.19835962827781,0.00593057314722387,0.00922587171953776,0.00173723208651918,-2.19866240130197,0.00232988518177962,0.00963354771347237,0.000708812288826852
"11428-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.11365672112423,-2.20045786952678,0.00188176782466139,0.00997622295571947,0.000545889521742491,-2.19448612104149,0.00168969682662351,0.0103621424889593,0.000587983594802041,-2.1914205253294,0.00618596960079467,0.00883292611417343,0.00163860940456922,-2.20098383521785,0.00215634123139311,0.0101293590988857,0.000674939871006017
"11428-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.11396708120647,-2.19606757573973,0.00198777765646646,0.0091262422529904,0.000553757150149253,-2.19101944244171,0.0017939189788798,0.00974584767563831,0.000598104678848657,-2.19532550374479,0.00569917023061628,0.00888754089018372,0.00160990512861217,-2.19558954155138,0.00250232818937066,0.00880324859429287,0.000785411042740676
"11428-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.113435358129541,-2.20370857688566,0.00188267569449163,0.0103377905846003,0.000511441890311104,-2.19789807673115,0.00170466497668637,0.0109418923174236,0.000549654976197347,-2.2187750497858,0.00640489646264497,0.0126146649200709,0.00156904208152588,-2.20472566303818,0.00225427529347048,0.0107138990096641,0.000701623989759662
"11428-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.113741514985294,-2.20100486757914,0.00194615185464988,0.0103297287769329,0.000558848203793467,-2.19551175877859,0.0017561789708394,0.0110223961856513,0.00060865633605027,-2.19952710887322,0.00650171934181735,0.0094442320631481,0.00198861283512079,-2.1999635783895,0.00236634911721544,0.00999280972790836,0.000732495581721904
"11428-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.113830867741937,-2.20028944133441,0.00201709943329835,0.0102682602253572,0.000542545635820892,-2.19426706412158,0.00183834748512622,0.0107597682009367,0.000581663499246102,-2.19723841801905,0.00641546175888271,0.00845372612164921,0.00173077303902664,-2.199568257067,0.00252768486278871,0.00985897072467996,0.00078259386532774
"11428-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.113518330978167,-2.19870944062478,0.00198215936154015,0.00881113691832281,0.000568945871353618,-2.19368303065792,0.00180108490248788,0.00920543034118584,0.000623011482112275,-2.20703058586243,0.00561671635935186,0.0100090575625507,0.00141360105781001,-2.19942826248491,0.00264108005646704,0.00910944892567877,0.00082110098069673
"11428-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.11397638591625,-2.19557646507405,0.00197071463098124,0.0089940702459132,0.000540154424018291,-2.19029893346797,0.00178220299577366,0.00949787728370663,0.000582996870023631,-2.20171850885291,0.0058126328474626,0.00890022872127686,0.00161410080056206,-2.19360849385761,0.00232959378985887,0.00827263376956865,0.000718505509206633
"11428-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.1,0.113931842350906,-2.20037537774044,0.00184822147931652,0.0106276403936235,0.00052324531801232,-2.19400768986977,0.00166609265877889,0.0110519420864651,0.000564611931628074,-2.19303304410782,0.00694118711017605,0.00749250050812328,0.00179202794973695,-2.19963259757235,0.00222358396589328,0.0104683272144578,0.000677342222673966
